"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","138","EX-6: a record that does not exist","Example: data-table verification","2026-07-18","passed","2026-07-18","","","",""
"","1567","EX-2: valid credentials reach the secure area and can log out","Example: login flow","2026-07-18","passed","2026-07-18","","","",""
"","35","EX-10: POST a payload and assert the created id","Example: pure API tests","2026-07-18","passed","2026-07-18","","","",""
"","298","EX-7: verify the table rows count","Example: data-table verification","2026-07-18","passed","2026-07-18","","","",""
"","29","EX-11: load fixture reference data into the Cypress.expose fixtures namespace","Example: pure API tests","2026-07-18","passed","2026-07-18","","","",""
"","383","EX-4: verify a full record located by one identifier","Example: data-table verification","2026-07-18","passed","2026-07-18","","","",""
"","486","EX-8: assert on the response fired by a UI action","Example: API interception","2026-07-18","passed","2026-07-18","","","",""
"","885","EX-1: login form is visible","Example: login flow","2026-07-18","passed","2026-07-18","","","",""
"","86","EX-5: multiple identifiers narrow the match to one row","Example: data-table verification","2026-07-18","passed","2026-07-18","","","",""
"","921","EX-3: wrong password shows an error message","Example: login flow","2026-07-18","passed","2026-07-18","","","",""
"","130","EX-9: GET a resource and validate its body with a Zod schema","Example: pure API tests","2026-07-18","passed","2026-07-18","","","",""
